:START_ID,:END_ID,role,:TYPE
p_4857,c_439,Phytotherapist,ROLE_AS
p_3400,c_348,Paediatric nurse,ROLE_AS
p_4566,c_976,Magazine features editor,ROLE_AS
p_2460,c_362,Designer;jewellery',ROLE_AS
p_8396,c_443,Chemical engineer,ROLE_AS
p_9000,c_231,Programme researcher;broadcasting/film/video',ROLE_AS
p_7069,c_229,Chemist;analytical',ROLE_AS
p_1230,c_582,Chief Marketing Officer,ROLE_AS
p_5522,c_730,Civil Service administrator,ROLE_AS
p_5184,c_919,Housing manager/officer,ROLE_AS
p_6339,c_520,Contractor,ROLE_AS
p_9058,c_845,Trade mark attorney,ROLE_AS
p_3231,c_928,Accountant;chartered',ROLE_AS
p_7105,c_415,Designer;graphic',ROLE_AS
p_7330,c_551,Chief of Staff,ROLE_AS
p_7526,c_378,Bonds trader,ROLE_AS
p_7810,c_992,Patent examiner,ROLE_AS
p_93,c_869,Gaffer,ROLE_AS
p_5497,c_704,Armed forces operational officer,ROLE_AS
p_6630,c_910,Chiropractor,ROLE_AS
p_8085,c_872,Best boy,ROLE_AS
p_3925,c_574,Medical secretary,ROLE_AS
p_7238,c_694,Lecturer;higher education',ROLE_AS
p_9863,c_673,Production assistant;radio',ROLE_AS
p_977,c_936,Retail merchandiser,ROLE_AS
p_39,c_82,Hydrographic surveyor,ROLE_AS
p_2074,c_824,Insurance risk surveyor,ROLE_AS
p_496,c_232,Advertising account planner,ROLE_AS
p_7745,c_953,Occupational therapist,ROLE_AS
p_7880,c_796,Regulatory affairs officer,ROLE_AS
p_8505,c_149,Programmer;applications',ROLE_AS
p_1552,c_698,Maintenance engineer,ROLE_AS
p_8319,c_507,Chartered management accountant,ROLE_AS
p_8938,c_274,Teacher;music',ROLE_AS
p_170,c_834,Microbiologist,ROLE_AS
p_1886,c_410,Nurse;children''s',ROLE_AS
p_6621,c_289,Physiological scientist,ROLE_AS
p_3574,c_488,Forest/woodland manager,ROLE_AS
p_7578,c_744,Learning disability nurse,ROLE_AS
p_9491,c_627,Estate agent,ROLE_AS
p_6035,c_86,Logistics and distribution manager,ROLE_AS
p_6896,c_236,Pharmacologist,ROLE_AS
p_5784,c_600,Librarian;public',ROLE_AS
p_3296,c_639,Charity officer,ROLE_AS
p_5922,c_541,Lobbyist,ROLE_AS
p_106,c_651,Geophysical data processor,ROLE_AS
p_710,c_761,Theatre manager,ROLE_AS
p_254,c_789,Chief of Staff,ROLE_AS
p_373,c_232,Sales executive,ROLE_AS
p_2450,c_924,Lexicographer,ROLE_AS
p_6232,c_414,Engineer;electronics',ROLE_AS
p_601,c_848,Geophysical data processor,ROLE_AS
p_7038,c_512,Barista,ROLE_AS
p_7141,c_909,Art therapist,ROLE_AS
p_5966,c_619,Adult guidance worker,ROLE_AS
p_3545,c_972,Surveyor;rural practice',ROLE_AS
p_681,c_377,Colour technologist,ROLE_AS
p_446,c_123,Medical secretary,ROLE_AS
p_6587,c_889,Air broker,ROLE_AS
p_3114,c_911,Accountant;chartered management',ROLE_AS
p_9914,c_759,Exhibition designer,ROLE_AS
p_8316,c_152,Geophysical data processor,ROLE_AS
p_8390,c_311,Lecturer;further education',ROLE_AS
p_4150,c_721,Merchant navy officer,ROLE_AS
p_1884,c_837,Therapist;speech and language',ROLE_AS
p_3095,c_860,Public relations account executive,ROLE_AS
p_7916,c_702,Speech and language therapist,ROLE_AS
p_7683,c_735,Animator,ROLE_AS
p_4809,c_333,Health and safety inspector,ROLE_AS
p_2227,c_625,Social research officer;government',ROLE_AS
p_5755,c_647,Social researcher,ROLE_AS
p_6296,c_869,Theatre stage manager,ROLE_AS
p_2709,c_813,Learning mentor,ROLE_AS
p_3268,c_392,Insurance risk surveyor,ROLE_AS
p_2163,c_78,Teacher;special educational needs',ROLE_AS
p_316,c_118,Land/geomatics surveyor,ROLE_AS
p_6028,c_663,Consulting civil engineer,ROLE_AS
p_2305,c_584,Printmaker,ROLE_AS
p_3516,c_627,Embryologist;clinical',ROLE_AS
p_764,c_159,Advertising art director,ROLE_AS
p_7105,c_880,Financial manager,ROLE_AS
p_4554,c_834,Television production assistant,ROLE_AS
p_6526,c_491,Health promotion specialist,ROLE_AS
p_7806,c_964,Investment banker;operational',ROLE_AS
p_8401,c_870,Conservator;furniture',ROLE_AS
p_3916,c_487,Rural practice surveyor,ROLE_AS
p_8584,c_286,Local government officer,ROLE_AS
p_5552,c_857,Passenger transport manager,ROLE_AS
p_4377,c_82,Advertising art director,ROLE_AS
p_3568,c_917,Ophthalmologist,ROLE_AS
p_1139,c_273,Advertising copywriter,ROLE_AS
p_6010,c_310,Water engineer,ROLE_AS
p_8554,c_559,Optometrist,ROLE_AS
p_3873,c_933,Solicitor,ROLE_AS
p_9507,c_835,Development worker;community',ROLE_AS
p_4602,c_537,Psychotherapist;child',ROLE_AS
p_2202,c_67,Community education officer,ROLE_AS
p_1367,c_239,Museum/gallery conservator,ROLE_AS
p_5838,c_610,Therapeutic radiographer,ROLE_AS
p_9878,c_485,Television production assistant,ROLE_AS
p_8873,c_240,Clinical embryologist,ROLE_AS
p_5745,c_914,Optometrist,ROLE_AS
p_8833,c_133,Broadcast engineer,ROLE_AS
p_2950,c_380,Patent attorney,ROLE_AS
p_5745,c_17,Engineer;materials',ROLE_AS
p_5450,c_926,Horticultural consultant,ROLE_AS
p_3378,c_36,Musician,ROLE_AS
p_6067,c_258,Designer;exhibition/display',ROLE_AS
p_2780,c_108,Academic librarian,ROLE_AS
p_5649,c_587,Engineer;energy',ROLE_AS
p_5043,c_606,Production assistant;radio',ROLE_AS
p_9586,c_64,Television camera operator,ROLE_AS
p_5042,c_294,Food technologist,ROLE_AS
p_2819,c_38,Interior and spatial designer,ROLE_AS
p_6860,c_806,Office manager,ROLE_AS
p_2471,c_566,Quantity surveyor,ROLE_AS
p_7044,c_150,Product manager,ROLE_AS
p_8798,c_997,Architectural technologist,ROLE_AS
p_4336,c_539,Industrial/product designer,ROLE_AS
p_4853,c_740,Jewellery designer,ROLE_AS
p_3719,c_209,Accountant;chartered management',ROLE_AS
p_7069,c_623,Make,ROLE_AS
p_5838,c_373,Landscape architect,ROLE_AS
p_5466,c_22,Manufacturing systems engineer,ROLE_AS
p_8493,c_391,Translator,ROLE_AS
p_4078,c_348,Administrator,ROLE_AS
p_1542,c_965,Child psychotherapist,ROLE_AS
p_9787,c_107,Astronomer,ROLE_AS
p_7081,c_863,Visual merchandiser,ROLE_AS
p_8141,c_442,Secretary;company',ROLE_AS
p_4519,c_332,Designer;blown glass/stained glass',ROLE_AS
p_5992,c_342,Sports coach,ROLE_AS
p_159,c_329,Teaching laboratory technician,ROLE_AS
p_561,c_546,Chiropodist,ROLE_AS
p_8495,c_878,Illustrator,ROLE_AS
p_7862,c_791,Industrial buyer,ROLE_AS
p_6786,c_148,Art gallery manager,ROLE_AS
p_3977,c_703,Biochemist;clinical',ROLE_AS
p_2649,c_502,Academic librarian,ROLE_AS
p_4688,c_383,Journalist;broadcasting',ROLE_AS
p_4760,c_5,Research officer;political party',ROLE_AS
p_3380,c_747,Applications developer,ROLE_AS
p_9839,c_797,Administrator;education',ROLE_AS
p_3636,c_403,Retail buyer,ROLE_AS
p_7101,c_878,Interior and spatial designer,ROLE_AS
p_629,c_394,Chiropractor,ROLE_AS
p_5970,c_555,Insurance underwriter,ROLE_AS
p_8959,c_835,Immigration officer,ROLE_AS
p_3306,c_577,Naval architect,ROLE_AS
p_1136,c_983,Housing manager/officer,ROLE_AS
p_7504,c_184,Software engineer,ROLE_AS
p_1028,c_508,Adult nurse,ROLE_AS
p_6781,c_65,IT trainer,ROLE_AS
p_1159,c_684,Broadcast presenter,ROLE_AS
p_8598,c_313,Investment banker;operational',ROLE_AS
p_5167,c_73,Sports development officer,ROLE_AS
p_9748,c_543,Video editor,ROLE_AS
p_2732,c_156,Operational investment banker,ROLE_AS
p_2445,c_193,Editor;film/video',ROLE_AS
p_4610,c_971,Producer;radio',ROLE_AS
p_2877,c_520,Surveyor;planning and development',ROLE_AS
p_1853,c_769,Secretary;company',ROLE_AS
p_4925,c_173,Best boy,ROLE_AS
p_8216,c_664,Newspaper journalist,ROLE_AS
p_8398,c_291,Energy manager,ROLE_AS
p_6926,c_810,Field trials officer,ROLE_AS
p_9606,c_689,Film/video editor,ROLE_AS
p_1472,c_135,Accountant;chartered management',ROLE_AS
p_7787,c_524,Nurse;learning disability',ROLE_AS
p_8607,c_488,Neurosurgeon,ROLE_AS
p_1300,c_231,Claims inspector/assessor,ROLE_AS
p_9862,c_60,Sound technician;broadcasting/film/video',ROLE_AS
p_2051,c_855,Engineer;land',ROLE_AS
p_4874,c_802,Pharmacist;community',ROLE_AS
p_1843,c_432,Lecturer;further education',ROLE_AS
p_7006,c_362,Sales executive,ROLE_AS
p_9349,c_497,Contractor,ROLE_AS
p_6692,c_416,Sports coach,ROLE_AS
p_7209,c_691,Surveyor;insurance',ROLE_AS
p_189,c_32,Accountant;chartered public finance',ROLE_AS
p_7188,c_278,Visual merchandiser,ROLE_AS
p_8225,c_437,Ecologist,ROLE_AS
p_1284,c_529,Maintenance engineer,ROLE_AS
p_2426,c_830,Futures trader,ROLE_AS
p_8940,c_61,Engineer;materials',ROLE_AS
p_946,c_139,Airline pilot,ROLE_AS
p_8397,c_511,Engineer;electrical',ROLE_AS
p_8435,c_494,Dance movement psychotherapist,ROLE_AS
p_6272,c_367,Archaeologist,ROLE_AS
p_3013,c_302,Restaurant manager,ROLE_AS
p_9370,c_894,Therapist;art',ROLE_AS
p_4091,c_974,Gaffer,ROLE_AS
p_3721,c_363,Education administrator,ROLE_AS
p_707,c_124,Arts administrator,ROLE_AS
p_7023,c_364,Building surveyor,ROLE_AS
p_4064,c_931,Database administrator,ROLE_AS
p_2606,c_184,Chartered certified accountant,ROLE_AS
p_6799,c_309,Product manager,ROLE_AS
p_9525,c_126,Accountant;chartered management',ROLE_AS
p_9472,c_599,Archaeologist,ROLE_AS
p_3911,c_211,Oncologist,ROLE_AS
p_437,c_995,Social researcher,ROLE_AS
p_6752,c_512,Administrator;Civil Service',ROLE_AS
p_8035,c_710,Administrator;sports',ROLE_AS
p_1766,c_515,Surveyor;minerals',ROLE_AS
p_4253,c_541,Retail banker,ROLE_AS
p_2386,c_888,Information officer,ROLE_AS
p_586,c_6,Camera operator,ROLE_AS
p_5080,c_386,Designer;industrial/product',ROLE_AS
p_6455,c_474,Loss adjuster;chartered',ROLE_AS
p_70,c_932,Engineer;electronics',ROLE_AS
p_1288,c_724,Research officer;trade union',ROLE_AS
p_2875,c_641,Quantity surveyor,ROLE_AS
p_2365,c_584,Retail merchandiser,ROLE_AS
p_517,c_381,Nature conservation officer,ROLE_AS
p_2472,c_839,Production designer;theatre/television/film',ROLE_AS
p_7033,c_998,Scientist;forensic',ROLE_AS
p_1069,c_907,Insurance broker,ROLE_AS
p_6250,c_598,Community development worker,ROLE_AS
p_2150,c_134,Forest/woodland manager,ROLE_AS
p_7571,c_51,Engineer;control and instrumentation',ROLE_AS
p_449,c_939,Financial controller,ROLE_AS
