:START_ID,:END_ID,share:float,:TYPE
p_3423,c_871,3,HOLD_SHARE
p_4528,c_324,14,HOLD_SHARE
p_5065,c_922,5,HOLD_SHARE
p_9888,c_605,0,HOLD_SHARE
p_7334,c_793,8,HOLD_SHARE
p_1900,c_690,15,HOLD_SHARE
p_7113,c_418,15,HOLD_SHARE
p_9153,c_552,3,HOLD_SHARE
p_4099,c_119,15,HOLD_SHARE
p_6473,c_693,14,HOLD_SHARE
p_4494,c_478,11,HOLD_SHARE
p_4893,c_649,10,HOLD_SHARE
p_3483,c_422,0,HOLD_SHARE
p_9632,c_620,10,HOLD_SHARE
p_8566,c_831,14,HOLD_SHARE
p_7560,c_536,10,HOLD_SHARE
p_1135,c_43,6,HOLD_SHARE
p_2294,c_332,5,HOLD_SHARE
p_7284,c_20,14,HOLD_SHARE
p_2128,c_502,9,HOLD_SHARE
p_1336,c_924,0,HOLD_SHARE
p_3778,c_113,1,HOLD_SHARE
p_4006,c_367,12,HOLD_SHARE
p_9203,c_66,7,HOLD_SHARE
p_5099,c_384,3,HOLD_SHARE
p_9336,c_27,6,HOLD_SHARE
p_6109,c_809,3,HOLD_SHARE
p_7133,c_548,14,HOLD_SHARE
p_7783,c_358,11,HOLD_SHARE
p_1952,c_633,6,HOLD_SHARE
p_8558,c_489,6,HOLD_SHARE
p_6126,c_674,10,HOLD_SHARE
p_6612,c_689,5,HOLD_SHARE
p_1422,c_82,2,HOLD_SHARE
p_8948,c_154,0,HOLD_SHARE
p_5878,c_392,14,HOLD_SHARE
p_8425,c_636,9,HOLD_SHARE
p_995,c_789,1,HOLD_SHARE
p_874,c_220,10,HOLD_SHARE
p_6754,c_26,9,HOLD_SHARE
p_1613,c_656,15,HOLD_SHARE
p_2719,c_949,2,HOLD_SHARE
p_4446,c_821,5,HOLD_SHARE
p_2348,c_496,14,HOLD_SHARE
p_3304,c_589,14,HOLD_SHARE
p_1693,c_593,9,HOLD_SHARE
p_1560,c_797,6,HOLD_SHARE
p_589,c_630,14,HOLD_SHARE
p_134,c_560,3,HOLD_SHARE
p_5694,c_174,11,HOLD_SHARE
p_9947,c_22,3,HOLD_SHARE
p_135,c_644,7,HOLD_SHARE
p_7623,c_245,14,HOLD_SHARE
p_8269,c_962,3,HOLD_SHARE
p_9489,c_701,3,HOLD_SHARE
p_9900,c_268,15,HOLD_SHARE
p_6568,c_830,14,HOLD_SHARE
p_4639,c_291,7,HOLD_SHARE
p_9339,c_711,4,HOLD_SHARE
p_1812,c_408,0,HOLD_SHARE
p_4303,c_636,14,HOLD_SHARE
p_9712,c_742,14,HOLD_SHARE
p_6647,c_976,4,HOLD_SHARE
p_8680,c_295,2,HOLD_SHARE
p_3640,c_276,11,HOLD_SHARE
p_1856,c_114,6,HOLD_SHARE
p_1350,c_882,9,HOLD_SHARE
p_1876,c_916,9,HOLD_SHARE
p_259,c_86,11,HOLD_SHARE
p_9016,c_195,8,HOLD_SHARE
p_6517,c_456,11,HOLD_SHARE
p_1873,c_444,15,HOLD_SHARE
p_7946,c_492,5,HOLD_SHARE
p_8087,c_659,11,HOLD_SHARE
p_18,c_856,0,HOLD_SHARE
p_3858,c_407,15,HOLD_SHARE
p_9427,c_374,5,HOLD_SHARE
p_2240,c_290,11,HOLD_SHARE
p_7008,c_907,3,HOLD_SHARE
p_1352,c_324,8,HOLD_SHARE
p_265,c_421,1,HOLD_SHARE
p_8606,c_518,2,HOLD_SHARE
p_7028,c_785,0,HOLD_SHARE
p_9853,c_42,4,HOLD_SHARE
p_1192,c_805,6,HOLD_SHARE
p_2720,c_614,2,HOLD_SHARE
p_9061,c_580,11,HOLD_SHARE
p_1293,c_986,9,HOLD_SHARE
p_270,c_443,5,HOLD_SHARE
p_4160,c_579,11,HOLD_SHARE
p_1798,c_10,2,HOLD_SHARE
p_8247,c_287,2,HOLD_SHARE
p_503,c_615,13,HOLD_SHARE
p_9745,c_664,15,HOLD_SHARE
p_6378,c_752,4,HOLD_SHARE
p_3061,c_787,11,HOLD_SHARE
p_7524,c_628,4,HOLD_SHARE
p_3397,c_13,5,HOLD_SHARE
p_6233,c_715,9,HOLD_SHARE
p_3516,c_17,5,HOLD_SHARE
p_6990,c_467,14,HOLD_SHARE
p_8114,c_814,3,HOLD_SHARE
p_7138,c_27,3,HOLD_SHARE
p_7548,c_897,4,HOLD_SHARE
p_2230,c_692,15,HOLD_SHARE
p_3648,c_596,6,HOLD_SHARE
p_4156,c_122,7,HOLD_SHARE
p_1052,c_18,9,HOLD_SHARE
p_5344,c_883,7,HOLD_SHARE
p_3274,c_717,5,HOLD_SHARE
p_6612,c_781,8,HOLD_SHARE
p_5602,c_552,4,HOLD_SHARE
p_1030,c_130,1,HOLD_SHARE
p_8036,c_630,8,HOLD_SHARE
p_5607,c_208,4,HOLD_SHARE
p_402,c_113,4,HOLD_SHARE
p_3875,c_118,7,HOLD_SHARE
p_4061,c_141,6,HOLD_SHARE
p_5010,c_808,6,HOLD_SHARE
p_4420,c_222,8,HOLD_SHARE
p_7384,c_66,8,HOLD_SHARE
p_5801,c_833,4,HOLD_SHARE
p_8727,c_614,5,HOLD_SHARE
p_642,c_615,12,HOLD_SHARE
