:START_ID,:END_ID,degree:float,:TYPE
p_3979,p_9750,46,RELATIVE_WITH
p_4363,p_6608,75,RELATIVE_WITH
p_6542,p_3706,80,RELATIVE_WITH
p_7649,p_394,92,RELATIVE_WITH
p_7361,p_1290,50,RELATIVE_WITH
p_4081,p_7285,97,RELATIVE_WITH
p_2136,p_4822,25,RELATIVE_WITH
p_2021,p_8902,87,RELATIVE_WITH
p_2655,p_4235,50,RELATIVE_WITH
p_413,p_4482,72,RELATIVE_WITH
p_1421,p_8473,73,RELATIVE_WITH
p_2581,p_9799,62,RELATIVE_WITH
p_6375,p_3969,23,RELATIVE_WITH
p_7370,p_9640,67,RELATIVE_WITH
p_4715,p_9678,31,RELATIVE_WITH
p_3215,p_4264,54,RELATIVE_WITH
p_6468,p_9893,5,RELATIVE_WITH
p_6783,p_8463,47,RELATIVE_WITH
p_4939,p_334,90,RELATIVE_WITH
p_8615,p_7489,69,RELATIVE_WITH
p_1289,p_4202,0,RELATIVE_WITH
p_7709,p_7008,0,RELATIVE_WITH
p_7885,p_1134,95,RELATIVE_WITH
p_2120,p_6604,65,RELATIVE_WITH
p_4428,p_5411,69,RELATIVE_WITH
p_167,p_9635,28,RELATIVE_WITH
p_7183,p_8736,35,RELATIVE_WITH
p_3261,p_9762,74,RELATIVE_WITH
p_5242,p_9113,13,RELATIVE_WITH
p_2318,p_4124,62,RELATIVE_WITH
p_4067,p_7030,70,RELATIVE_WITH
p_7353,p_9507,52,RELATIVE_WITH
p_2382,p_9348,88,RELATIVE_WITH
p_78,p_1399,11,RELATIVE_WITH
p_3097,p_4637,4,RELATIVE_WITH
p_9314,p_4013,4,RELATIVE_WITH
p_8769,p_2146,15,RELATIVE_WITH
p_1277,p_6405,5,RELATIVE_WITH
p_4817,p_886,56,RELATIVE_WITH
p_6399,p_4275,53,RELATIVE_WITH
p_8213,p_5213,97,RELATIVE_WITH
p_8869,p_1033,74,RELATIVE_WITH
p_4739,p_7968,99,RELATIVE_WITH
p_377,p_2423,30,RELATIVE_WITH
p_3745,p_8798,75,RELATIVE_WITH
p_8674,p_4570,70,RELATIVE_WITH
p_7283,p_4276,95,RELATIVE_WITH
p_1853,p_3874,25,RELATIVE_WITH
p_9114,p_3482,76,RELATIVE_WITH
p_2942,p_5338,62,RELATIVE_WITH
p_2022,p_6230,73,RELATIVE_WITH
p_183,p_7763,8,RELATIVE_WITH
